config_hash,git_commit,source_hash,prior_id,data_hash,smoke,solver,axis,level,seed,image_id,sigma_true,sigma_assumed,mask_disagreement,mask_density,psnr,ssim,lpips,residual_assumed,residual_true,residual_gap,artifact
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,zero_filled,noise,0,0,0,0.03,0.03,0,0.25,22.6588457485,0.656826713866,0.224726319313,0.0395699590445,0.0395699590445,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/zero_filled-noise-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,tv,noise,0,0,0,0.03,0.03,0,0.25,23.1382201625,0.650396083325,0.135672137141,0.0408819019794,0.0408819019794,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/tv-noise-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,dps,noise,0,0,0,0.03,0.03,0,0.25,2.33604757711,-0.00724050155615,0.527222752571,0.870035111904,0.870035111904,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/dps-noise-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,diffpir,noise,0,0,0,0.03,0.03,0,0.25,7.24931454504,0.0593822761791,0.577634990215,0.0227851085365,0.0227851085365,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/diffpir-noise-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,pigdm,noise,0,0,0,0.03,0.03,0,0.25,7.85417966392,0.0646982328517,0.574036538601,0.0675204768777,0.0675204768777,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/pigdm-noise-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,zero_filled,noise,1,0,0,0.03,0.0815484548538,0,0.25,22.6588457485,0.656826713866,0.224726319313,0.0395699590445,0.0395699590445,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/zero_filled-noise-1.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,tv,noise,1,0,0,0.03,0.0815484548538,0,0.25,23.1382201625,0.650396083325,0.135672137141,0.0408819019794,0.0408819019794,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/tv-noise-1.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,dps,noise,1,0,0,0.03,0.0815484548538,0,0.25,2.33604757711,-0.00724050155615,0.527222752571,0.870035111904,0.870035111904,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/dps-noise-1.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,diffpir,noise,1,0,0,0.03,0.0815484548538,0,0.25,7.21474799813,0.0571325853007,0.580868184566,0.0517338737845,0.0517338737845,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/diffpir-noise-1.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,pigdm,noise,1,0,0,0.03,0.0815484548538,0,0.25,7.68476438365,0.0579673097122,0.579357743263,0.123818591237,0.123818591237,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/pigdm-noise-1.0-0-0.pt
